point;Temps(s);Tension_moteur(V);Vitesse_chariot(mm/s)
388;7.760000;0.000572;0.000000
389;7.780000;0.000572;0.000000
390;7.800000;0.000572;0.000000
391;7.820000;0.011572;0.000000
392;7.840000;0.011572;0.000000
393;7.860000;0.000572;0.000000
394;7.880000;0.000572;0.000000
395;7.900000;0.000572;0.000000
396;7.920000;0.011572;0.000000
397;7.940000;0.011572;0.000000
398;7.960000;0.000572;0.000000
399;7.980000;0.000572;0.000000
400;8.000000;0.011572;0.000000
401;8.020000;0.000572;0.000000
402;8.040000;0.000572;0.000000
403;8.060000;0.000572;0.000000
404;8.080000;0.000572;0.000000
405;8.100000;0.000572;0.000000
406;8.120000;0.011572;0.000000
407;8.140000;0.000572;0.000000
408;8.160000;0.000572;0.000000
409;8.180000;0.000572;0.000000
410;8.200000;0.000572;0.000000
411;8.220000;0.000572;0.000000
412;8.240000;0.000572;0.000000
413;8.260000;0.000572;0.000000
414;8.280000;0.000572;0.000000
415;8.300000;0.011572;0.000000
416;8.320000;0.000572;0.000000
417;8.340000;0.000572;0.000000
418;8.360000;0.000572;0.000000
419;8.380000;0.000572;0.000000
420;8.400000;0.000572;0.000000
421;8.420000;0.011572;0.000000
422;8.440000;0.011572;0.000000
423;8.460000;0.000572;0.000000
424;8.480000;0.000572;0.000000
425;8.500000;0.000572;0.000000
426;8.520000;0.000572;0.000000
427;8.540000;0.000572;0.000000
428;8.560000;0.000572;0.000000
429;8.580000;0.000572;0.000000
430;8.600000;0.000572;0.000000
431;8.620000;0.000572;0.000000
432;8.640000;0.000572;0.000000
433;8.660000;0.000572;0.000000
434;8.680000;0.000572;0.000000
435;8.700000;0.000572;0.000000
436;8.720000;0.011572;0.000000
437;8.740000;0.000572;0.000000
438;8.760000;0.000572;0.000000
439;8.780000;0.000572;0.000000
440;8.800000;0.000572;0.000000
441;8.820000;0.011572;0.000000
442;8.840000;0.000572;0.000000
443;8.860000;0.000572;0.000000
444;8.880000;0.011572;0.000000
445;8.900000;0.000572;0.000000
446;8.920000;0.000572;2.284636
447;8.940000;0.000572;0.000000
448;8.960000;0.000572;-2.284636
449;8.980000;0.000572;0.000000
450;9.000000;0.000572;0.000000
451;9.020000;0.000572;0.000000
452;9.040000;0.011572;0.000000
453;9.060000;0.011572;0.000000
454;9.080000;0.011572;0.000000
455;9.100000;0.000572;0.000000
456;9.120000;0.011572;0.000000
457;9.140000;0.000572;0.000000
458;9.160000;0.000572;0.000000
459;9.180000;0.000572;0.000000
460;9.200000;0.000572;0.000000
461;9.220000;0.000572;0.000000
462;9.240000;0.000572;0.000000
463;9.260000;0.000572;0.000000
464;9.280000;0.011572;0.000000
465;9.300000;0.011572;0.000000
466;9.320000;0.011572;0.000000
467;9.340000;0.000572;0.000000
468;9.360000;0.000572;2.284636
469;9.380000;0.000572;0.000000
470;9.400000;0.000572;-2.284636
471;9.420000;0.000572;0.000000
472;9.440000;0.000572;0.000000
473;9.460000;0.000572;0.000000
474;9.480000;0.000572;0.000000
475;9.500000;0.011572;0.000000
476;9.520000;0.000572;0.000000
477;9.540000;0.000572;0.000000
478;9.560000;0.000572;0.000000
479;9.580000;0.000572;0.000000
480;9.600000;0.000572;0.000000
481;9.620000;0.000572;0.000000
482;9.640000;0.011572;0.000000
483;9.660000;0.011572;0.000000
484;9.680000;0.000572;0.000000
485;9.700000;0.000572;0.000000
486;9.720000;0.000572;0.000000
487;9.740000;0.000572;0.000000
488;9.760000;0.000572;0.000000
489;9.780000;0.000572;0.000000
490;9.800000;0.011572;0.000000
491;9.820000;0.000572;0.000000
492;9.840000;0.000572;0.000000
493;9.860000;0.000572;0.000000
494;9.880000;0.011572;0.000000
495;9.900000;0.000572;0.000000
496;9.920000;0.000572;0.000000
497;9.940000;0.000572;0.000000
498;9.960000;0.011572;0.000000
499;9.980000;0.011572;0.000000
500;10.000000;0.011572;0.000000
